,x,y,time,cyc,track,qs,px1,py1,px2,py2,geometry,min_dist
0,-822166.9665966784,413449.6859779397,101700649.70518352,10,1360-gt3r,3.630802464343861,,,,,POINT (-822166.9665966784 413449.6859779397),609.6777237265369
1,-822775.1488449589,413492.3624314574,101700649.4315128,10,1360-gt3l,3.0017455422008292,-801707.4431171925,408900.5341680611,-810148.7835169497,410741.9195168524,POINT (-822775.1488449589 413492.3624314574),609.6777237265369
2,-822963.9602484076,410246.33213329565,101700649.73725064,10,1360-gt2r,2.691672914311188,-803456.5711557537,405995.8778250414,-816803.0893476541,408904.68551006034,POINT (-822963.9602484076 410246.33213329565),120.85356811436102
3,-823059.6776291133,410172.5502387903,101700649.38640936,10,1360-gt2l,2.8351242220429955,,,,,POINT (-823059.6776291133 410172.5502387903),120.85356811436102
4,-823020.003994116,406878.06353253155,101700649.65823264,10,1360-gt1r,3.2394318877633563,,,,,POINT (-823020.003994116 406878.06353253155),736.5389213841729
5,-824940.765931896,407203.2472107346,101700649.57835415,10,1360-gt1l,3.386801967443012,,,,,POINT (-824940.765931896 407203.2472107346),774.832051341756
6,-920487.9869970756,336605.24546298344,101615797.89329511,10,1345-gt3r,3.6354642940917477,-947374.3656040403,339651.86578431126,-975589.0142359895,342831.51497167145,POINT (-920487.9869970756 336605.24546298344),90.39672164300174
7,-920478.598687301,336515.3375827761,101615797.52930954,10,1345-gt3l,4.545034562069446,-920478.598687301,336515.3375827761,-975618.3337928783,342745.0686293823,POINT (-920478.598687301 336515.3375827761),90.39672164300174
8,-964919.5207201587,338305.66932831367,101615804.32613711,10,1345-gt2r,3.568346204783715,-961492.0941852317,337919.85988445324,-978902.212290174,339877.1091081161,POINT (-964919.5207201587 338305.66932831367),823.5255454510152
9,-965743.0459329627,338306.4095219133,101615804.08255588,10,1345-gt2l,3.8867035472078633,-964987.8533382142,338221.1959595157,-978989.7716622805,339795.8967286753,POINT (-965743.0459329627 338306.4095219133),823.5255454510152
10,-924291.8990074957,330386.68564225186,101615798.3733238,10,1345-gt1r,3.351106134319483,-924291.8990074957,330386.68564225186,-933851.8811462215,331470.0953979343,POINT (-924291.8990074957 330386.68564225186),1893.943009898223
11,-937926.3225680764,331841.1580448521,101615799.99591845,10,1345-gt1l,3.5894786708499495,-937926.3225680764,331841.1580448521,-964041.0375459113,334788.9336176471,POINT (-937926.3225680764 331841.1580448521),6433.745352931755
12,-815138.125500938,421479.61027263204,101564612.27336738,10,1336-gt2r,3.1305218001939568,,,,,POINT (-815138.125500938 421479.61027263204),732.1439991756924
13,-812331.8191303924,423526.5672636292,101564612.03590511,10,1336-gt1l,3.684835535486443,,,,,POINT (-812331.8191303924 423526.5672636292),3473.526791080947
14,-889868.8135326323,360937.05942679185,101479744.99649894,10,1321-gt3r,6.69420822607687,,,,,POINT (-889868.8135326323 360937.05942679185),115.83148962913967
15,-889755.432227805,360960.7578171458,101479744.64700262,10,1321-gt3l,6.2352401303096565,,,,,POINT (-889755.432227805 360960.7578171458),115.83148962913967
16,-886669.612767064,362695.4526439689,101479745.2397737,10,1321-gt2r,4.80362962838666,,,,,POINT (-886669.612767064 362695.4526439689),98.89713187607238
17,-886584.7284023697,362746.19993280043,101479744.88349734,10,1321-gt2l,4.511716548897686,,,,,POINT (-886584.7284023697 362746.19993280043),98.89713187607238
18,-883089.6068033598,364183.29938339075,101479745.54992141,10,1321-gt1r,7.304939152297072,,,,,POINT (-883089.6068033598 364183.29938339075),106.31952294444602
19,-883084.7536666709,364289.5080837096,101479745.17972007,10,1321-gt1l,5.55786589580758,,,,,POINT (-883084.7536666709 364289.5080837096),106.31952294444602
20,-917682.7591431523,283201.99809259514,101049785.0710915,10,1245-gt3r,4.114667812001165,,,,,POINT (-917682.7591431523 283201.99809259514),5755.315275676833
23,-893740.5027269261,359053.89297232684,100925595.94912894,10,1223-gt3r,5.063713400240547,,,,,POINT (-893740.5027269261 359053.89297232684),91.41956116220821
24,-893753.3251535076,358963.3771088572,100925595.58771247,10,1223-gt3l,4.707800657917419,,,,,POINT (-893753.3251535076 358963.3771088572),91.41956116220821
25,-896093.8711226722,356048.8268858801,100925596.2431699,10,1223-gt2r,3.147091019845723,-896093.8711226722,356048.8268858801,-911095.3836932406,358169.8326150012,POINT (-896093.8711226722 356048.8268858801),998.7604786968583
26,-899287.5401300149,356411.3386386002,100925596.3461466,10,1223-gt2l,4.401476546878494,-899287.5401300149,356411.3386386002,-911146.0713791279,358089.44977190637,POINT (-899287.5401300149 356411.3386386002),1968.8780693904998
27,-903305.385216628,353730.6190831709,100925597.24675857,10,1223-gt1r,4.3262957175765875,,,,,POINT (-903305.385216628 353730.6190831709),118.6597420317028
28,-903395.037101025,353652.8844447972,100925596.89624971,10,1223-gt1l,4.655701224128655,,,,,POINT (-903395.037101025 353652.8844447972),118.6597420317028
29,-924635.3197717918,302379.27743421553,100704683.13936049,10,1184-gt3r,3.710717381725361,-972894.3299599225,332358.93417353573,-935723.1785516499,309261.4548818355,POINT (-924635.3197717918 302379.27743421553),93.439167649069
30,-924586.0767192354,302458.68775990355,100704682.77730691,10,1184-gt3l,3.8820246944457346,-972778.8757349948,332396.947853171,-923129.3894573515,301555.665364403,POINT (-924586.0767192354 302458.68775990355),93.439167649069
31,-966478.804537468,332267.2947678744,100704675.73226033,10,1184-gt2r,4.543622933702072,,,,,POINT (-966478.804537468 332267.2947678744),145.1506038878707
32,-966334.0940687128,332278.5898128791,100704675.38747372,10,1184-gt2l,3.1880643839083413,-974674.0176510358,337467.25417076406,-966334.0940687128,332278.5898128791,POINT (-966334.0940687128 332278.5898128791),145.1506038878707
33,-962863.0429413752,333911.22826993803,100704676.06791176,10,1184-gt1r,2.6190456720896824,-962863.0429413752,333911.22826993803,-937331.497509318,318044.8284921642,POINT (-962863.0429413752 333911.22826993803),196.1849408908162
34,-962667.6779906761,333893.309925408,100704675.73152998,10,1184-gt1l,2.5234430102459537,-962667.6779906761,333893.309925408,-937284.8706938584,318119.93157208787,POINT (-962667.6779906761 333893.309925408),196.1849408908162
35,-875225.9867269446,369048.3505486055,100580493.25718889,10,1162-gt3r,4.4161493758394235,,,,,POINT (-875225.9867269446 369048.3505486055),182.52547277046617
36,-875394.5439195456,368978.32183283445,100580492.91743366,10,1162-gt3l,4.571107867114927,-838508.2715295751,363206.69836678164,-857448.2471448099,366177.71421817393,POINT (-875394.5439195456 368978.32183283445),182.52547277046617
37,-880159.9986567983,366471.4790464865,100580493.92215014,10,1162-gt2r,4.946799579291791,,,,,POINT (-880159.9986567983 366471.4790464865),105.64062680399032
38,-880231.2559496824,366393.4896866843,100580493.56895222,10,1162-gt2l,4.85087640680971,,,,,POINT (-880231.2559496824 366393.4896866843),105.64062680399032
